model,concurrency,state_label,condition,metric,analysis_status,n_episodes,n_episodes_total,median,mean,sample_sd,iqr,min,max
llama,8,high,no_burst,victim_p95_itl_ms,ok,5,5,1416.3545980499998,1413.10944734,5.754760237943273,6.627504799999997,1404.26076235,1417.7110795
llama,8,high,no_burst,victim_itl_iqr_ms,ok,5,5,1.9829432500002895,1.9605157999999392,0.09166876293018586,0.1174029999999675,1.8648459999997158,2.08584924999991
llama,8,high,no_burst,victim_median_ttft_ms,ok,5,5,16931.407993499997,17875.644473599998,1382.239322961783,2514.571469499999,16803.8774835,19398.4427745
llama,8,high,no_burst,victim_p95_ttft_ms,ok,5,5,18297.54545235,18887.7396648,900.964695414796,1614.6685348999963,18147.468309199998,19883.19146715
llama,8,high,no_burst,victim_median_e2el_ms,ok,5,5,106114.7278445,106821.0358372,1648.1674329080759,2897.0798125,105181.07659,108650.64915000001
llama,8,high,no_burst,victim_p95_e2el_ms,ok,5,5,107481.83897825,107830.15550164001,1177.226033636226,2001.3217916499998,106530.32685905,109120.91447814999
llama,8,high,no_burst,victim_goodput_tokens_per_s,ok,5,5,4.0948877974185915,4.072949753064971,0.05434545076347386,0.09378725330982274,4.012898387714733,4.129197543062289
llama,8,high,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,8,high,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,high,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,high,fixed_burst,victim_median_tpot_ms,ok,5,5,1502.1535532619046,1492.5334593396824,21.546530778582998,30.173362619047793,1466.0688058015874,1516.6648317460317
llama,8,high,fixed_burst,victim_median_itl_ms,ok,5,5,1430.2085339999999,1426.6995760999998,6.504930796322689,8.474820500000078,1417.27788,1432.377291
llama,8,high,fixed_burst,victim_p95_itl_ms,ok,5,5,1431.75549445,1428.34167888,6.473652079009387,8.712563500000215,1419.1305,1434.10168345
llama,8,high,fixed_burst,victim_itl_iqr_ms,ok,5,5,1.9493379999998979,1.9931745500000033,0.1992673111961384,0.30932849999999235,1.761663500000168,2.2268412500000068
llama,8,high,fixed_burst,victim_median_ttft_ms,ok,5,5,16897.6607715,17493.2473465,1906.411104943661,2460.8720944999986,14911.2477915,19417.519931000003
llama,8,high,fixed_burst,victim_p95_ttft_ms,ok,5,5,19725.2476245,19840.455371070002,241.15167476290608,433.0219307999978,19636.5170705,20129.498219250003
llama,8,high,fixed_burst,victim_median_e2el_ms,ok,5,5,109771.0839995,109750.4182915,462.1070809476064,178.8227445000084,109035.604154,110314.6501095
llama,8,high,fixed_burst,victim_p95_e2el_ms,ok,5,5,113413.56331015,114098.08562581001,1387.1622616356055,1994.4149839500024,112671.1183947,115871.83614105001
llama,8,high,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,3.9464489441484267,3.93667385176776,0.025849053697169413,0.03082866342942614,3.9005856906153653,3.9649177742861856
llama,8,high,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,8,high,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,high,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,low,no_burst,victim_median_tpot_ms,ok,5,5,19.157850952380954,19.32551388095238,0.3821562698238105,0.004303222222223013,19.14288816666667,20.009022253968254
qwen,4,low,no_burst,victim_median_itl_ms,ok,5,5,19.133557000000003,19.1465085,0.023462360596282112,0.026919999999996946,19.124350999999997,19.1808685
qwen,4,low,no_burst,victim_p95_itl_ms,ok,5,5,19.39476045,19.3977459,0.01797544173073215,0.021177449999996156,19.374898950000002,19.42084555
qwen,4,low,no_burst,victim_itl_iqr_ms,ok,5,5,0.13478050000000152,0.13867865000000065,0.015838867288650207,0.006920999999998401,0.1244732500000012,0.1655824999999993
qwen,4,low,no_burst,victim_median_ttft_ms,ok,5,5,239.1216275,230.4766889,17.84917658623849,3.921818000000002,198.6868795,239.5563105
qwen,4,low,no_burst,victim_p95_ttft_ms,ok,5,5,256.521088,257.39214961,5.270956651751131,0.8392833500000165,251.4567255,265.9511282
qwen,4,low,no_burst,victim_median_e2el_ms,ok,5,5,1454.8914479999999,1455.5470017,2.1793363103693766,2.352145500000006,1452.7295815,1458.3054115
qwen,4,low,no_burst,victim_p95_e2el_ms,ok,5,5,1467.9036881499999,1473.18972107,9.711780266364224,16.919346649999852,1465.00637355,1484.925594
qwen,4,low,no_burst,victim_goodput_tokens_per_s,ok,5,5,175.2374187225664,175.07466862427646,0.3453342371491515,0.5004990316724047,174.64421514260246,175.44212019427206
qwen,4,low,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,4,low,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,low,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,low,fixed_burst,victim_median_tpot_ms,ok,5,5,19.517713706349205,19.815850553968254,0.6695130392601766,0.023591150793649263,19.493061198412697,21.013151682539682
qwen,4,low,fixed_burst,victim_median_itl_ms,ok,5,5,19.480092,19.479620200000003,0.016689349660039033,0.01894200000000268,19.4589115,19.502053500000002
qwen,4,low,fixed_burst,victim_p95_itl_ms,ok,5,5,19.803978,19.7904145,0.06175605647829213,0.07505849999999725,19.704327,19.859977
qwen,4,low,fixed_burst,victim_itl_iqr_ms,ok,5,5,0.23807749999999928,0.24246534999999908,0.02647212306051909,0.049111750000001564,0.21662325000000138,0.2726322500000009
qwen,4,low,fixed_burst,victim_median_ttft_ms,ok,5,5,252.073037,247.7663925,25.002333210753488,12.527895999999998,204.7651255,266.733381
