file,offload_gb,concurrency,input_len,output_len,run_no,completed,failed,tpot_median,tpot_p95,itl_median,itl_p95,ttft_median,ttft_p95,e2el_median,e2el_p95,n_tpot_values,n_itl_values,n_ttft_values,n_e2el_values
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out128_run1.json,0,8,256,128,1,20,0,20.928470869886063,20.970891122058273,20.824666398423375,20.92651999919326,65.59206784959315,66.53331620054814,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out128_run2.json,0,8,256,128,2,20,0,20.937826130118374,20.985046999995813,20.82958641476722,20.93183999750181,66.00193450067309,66.71427649998805,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out128_run3.json,0,8,256,128,3,20,0,20.93956550886399,20.98644831103301,20.832629829851612,20.935860002282425,65.59471822638443,66.63299995052512,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out128_run4.json,0,8,256,128,4,20,0,20.93958900295261,20.987909192913285,20.834021807486636,20.9400595012994,65.53676015000747,66.57499529992492,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out128_run5.json,0,8,256,128,5,20,0,20.93649865097306,20.982111303134495,20.830405857104495,20.93320500171103,65.70045899998149,66.46403600043413,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out32_run1.json,0,8,256,32,1,20,0,20.884514916129014,20.919291612904825,20.546414891811082,20.894908999252948,65.4395094749816,66.39360644967383,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out32_run2.json,0,8,256,32,2,20,0,20.883543778214637,20.918321370939545,20.54117356029792,20.88543900026707,64.86475752462866,65.95032754958083,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out32_run3.json,0,8,256,32,3,20,0,20.87407108306985,20.909438500013728,20.530985639629762,20.874708498013206,65.12575507504152,65.83126565001294,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out32_run4.json,0,8,256,32,4,20,0,20.86934819270673,20.897556354787913,20.519558901028745,20.84953250050603,58.58627274910759,61.45621849827876,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out32_run5.json,0,8,256,32,5,20,0,20.891353130627976,20.92966688706515,20.504786529048147,20.808506498724455,65.26781522534293,65.8699539504596,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out64_run1.json,0,8,256,64,1,20,0,20.864116196046073,20.906468142880293,20.68180731371143,20.86732300085714,65.43819799962876,66.24731549945864,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out64_run2.json,0,8,256,64,2,20,0,20.858755521041733,20.899905936525936,20.689704670496667,20.88719899802527,66.25438447545093,66.97277894982108,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out64_run3.json,0,8,256,64,3,20,0,20.861934453573454,20.902959063494652,20.68862155749258,20.88178399935714,66.22653309959787,67.04732469970622,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out64_run4.json,0,8,256,64,4,20,0,20.870358685327133,20.91314373810458,20.68999356371961,20.87798349930381,65.63621387476815,66.54891974994825,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc8_in256_out64_run5.json,0,8,256,64,5,20,0,20.866578244052405,20.909069119062178,20.69247882425458,20.886384001642,65.73454430053971,66.49397460023465,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out128_run1.json,2,12,256,128,1,20,0,256.4512372314963,257.36027541731926,255.27610944858594,257.00651650186046,577.6289426990843,580.6449894000252,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out128_run2.json,2,12,256,128,2,20,0,256.45571170827435,257.3450347598572,255.2641221522748,256.95851700220373,577.9929771753814,581.3611193501856,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out128_run3.json,2,12,256,128,3,20,0,256.4176864509752,257.31742874408457,255.217840791164,256.91403200107743,579.0207242755059,581.6606860502361,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out128_run4.json,2,12,256,128,4,20,0,256.45005354253243,257.34615027561915,255.25770726224124,256.9580300041707,580.5130420996647,582.8980802001752,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out128_run5.json,2,12,256,128,5,20,0,256.48162493680576,257.3878415039256,255.26317699269043,256.947690002562,581.8448750002062,584.1280694996385,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out32_run1.json,2,12,256,32,1,20,0,256.1721365556642,257.26402646778877,252.02448512040405,256.940201503312,580.9190809495703,583.4818558996631,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out32_run2.json,2,12,256,32,2,20,0,256.07469707339345,257.15481422582434,251.80824888037705,256.5907429998333,579.7854502994596,582.7225386012287,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out32_run3.json,2,12,256,32,3,20,0,256.0673720137387,257.1794380323075,251.88701346840503,256.7863349977415,575.4608395740433,579.0885231497668,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out32_run4.json,2,12,256,32,4,20,0,256.02764319434846,257.11628451608703,251.85619986585834,256.74054000046453,580.7811205988401,583.0204116995446,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out32_run5.json,2,12,256,32,5,20,0,256.07907739995426,257.164500628982,251.86332309791624,256.7017700021097,580.6090342510288,583.1021530008002,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out64_run1.json,2,12,256,64,1,20,0,256.36101681389437,257.32933979365737,254.18855590776275,256.97509399833507,579.851416125166,581.5549337494303,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out64_run2.json,2,12,256,64,2,20,0,256.2822629321379,257.2403834285704,254.07625475314433,256.8179560039425,581.6066640987628,583.4350907000044,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out64_run3.json,2,12,256,64,3,20,0,256.30346157617856,257.2702499761824,254.10174054838706,256.8565579967981,581.141526249121,583.4903385009966,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out64_run4.json,2,12,256,64,4,20,0,256.31177462855703,257.2647591666268,254.1773097248324,256.9859329996689,579.5500417239964,582.3296834489156,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc12_in256_out64_run5.json,2,12,256,64,5,20,0,256.30910012898516,257.2653622936785,254.13658949890134,256.9103774985706,581.0493148263049,582.8011611498368,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc16_in256_out128_run1.json,2,16,256,128,1,20,0,256.98293124291024,257.6641010000028,255.91032492501427,257.5213150012132,617.2374143516208,622.8999125014525,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc16_in256_out128_run2.json,2,16,256,128,2,20,0,257.00447293248135,257.69539802362357,255.94077167434648,257.5705025010393,617.9320890743838,623.4659399997327,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload2\llama_offload2_conc16_in256_out128_run3.json,2,16,256,128,3,20,0,256.9135758671109,257.59452664958843,255.8661715246501,257.5015894981334,615.5636875255368,620.7031730009476,,,2,2,2,0
