dataset,offload_gb,label,run_concurrency,run_id,request_idx,source_file,model_name,input_len,target_output_len,actual_output_len,ttft_ms,itl_count,itl_mean_ms,itl_median_ms,itl_std_ms,itl_min_ms,itl_max_ms,itl_p95_ms,itl_p99_ms,decode_time_ms,e2el_ms
qwen,12,1,1,5,17,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1509.915873000864,64,1483.0136575624806,1506.5163474992005,186.84377386320972,0.008510000043315813,1509.1299280011299,1508.220031849487,1508.8186368105198,94912.87408399876,96422.78995699962
qwen,12,1,1,5,18,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1510.4523390000395,64,1482.8366959218613,1506.4589314997647,186.8215281591573,0.008130999049171805,1508.5556670001097,1507.603475050746,1508.2131901801222,94901.54853899912,96412.00087799916
qwen,12,1,1,5,19,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1508.4202409998397,64,1482.6898777187694,1506.0487050004667,186.80328631806287,0.010910000128205866,1510.2840700001252,1507.6408920001086,1509.178234779647,94892.15217400124,96400.57241500108
qwen,12,1,2,1,0,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1220.8436809996783,64,1459.849685062494,1483.124393000253,183.9274024418318,0.0054510001064045355,1487.7018819988734,1484.3948359497517,1487.0370852097403,93430.37984399962,94651.2235249993
qwen,12,1,2,1,1,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1220.6989570004225,64,1459.842126093747,1483.1297130003804,183.92603546542227,0.007511000148952007,1487.6716409999062,1484.395136299463,1486.7284333493808,93429.89606999981,94650.59502700024
qwen,12,1,2,1,2,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1513.1117069995526,64,1460.0323763437473,1483.0182755003989,183.9581995408688,0.007329999789362773,1498.1961930006946,1485.1277847494202,1490.3825090101236,93442.07208599983,94955.18379299938
qwen,12,1,2,1,3,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,3011.123365000458,64,1460.17641965625,1483.0740070001411,183.99147012314293,0.0057800007198238745,1507.2361000002275,1485.128494098626,1493.7396729994725,93451.290858,96462.41422300045
qwen,12,1,2,1,4,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,3009.282564999012,64,1460.5804365937445,1483.119383500707,184.05230691695377,0.006510999810416251,1506.4430340007675,1485.4014244497193,1502.5010150099115,93477.14794199965,96486.43050699866
qwen,12,1,2,1,5,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4508.5193070008245,64,1460.7150424374993,1483.1189784999879,184.08502704991346,0.004859999535256065,1510.7512820013653,1485.4010781004035,1506.7167380600586,93485.76271599995,97994.28202300078
qwen,12,1,2,1,6,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4513.526666998587,64,1460.5360551718718,1482.9433360000621,184.0462039971922,0.006890000804560259,1506.1685410000791,1485.3692692012373,1502.1772553796836,93474.3075309998,97987.83419799838
qwen,12,1,2,1,7,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc2_run1.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,4504.235323000103,64,1460.6366918906417,1482.975322999664,184.06883659975117,0.004999999873689376,1506.4768559986987,1485.3576175504713,1505.8868502904807,93480.74828100107,97984.98360400117
